Module,Tab Name,Tab Slug,Order,Status,Priority,Component Path,Notes,Estimated Hours,Assigned To,Completion Date
dashboard,Overview,overview,0,✅ COMPLETE,CRITICAL,src/components/dashboard/dashboard-overview-tab.tsx,Fully functional with widgets,0,,
dashboard,My Agenda,my-agenda,1,✅ COMPLETE,HIGH,src/components/dashboard/dashboard-my-agenda-tab.tsx,Calendar integration working,0,,
dashboard,My Jobs,my-jobs,2,✅ COMPLETE,HIGH,src/components/dashboard/dashboard-my-jobs-tab.tsx,Contract tracking implemented,0,,
dashboard,My Tasks,my-tasks,3,✅ COMPLETE,HIGH,src/components/dashboard/dashboard-my-tasks-tab.tsx,Task management complete,0,,
dashboard,My Assets,my-assets,4,✅ COMPLETE,MEDIUM,src/components/dashboard/dashboard-my-assets-tab.tsx,Asset tracking working,0,,
dashboard,My Orders,my-orders,5,✅ COMPLETE,MEDIUM,src/components/dashboard/dashboard-my-orders-tab.tsx,Marketplace integration,0,,
dashboard,My Advances,my-advances,6,✅ COMPLETE,HIGH,src/components/dashboard/dashboard-my-advances-tab.tsx,Production advances tracking,0,,
dashboard,My Travel,my-travel,7,✅ COMPLETE,MEDIUM,src/components/dashboard/dashboard-my-travel-tab.tsx,Travel itinerary display,0,,
dashboard,My Expenses,my-expenses,8,✅ COMPLETE,HIGH,src/components/dashboard/dashboard-my-expenses-tab.tsx,Expense reporting functional,0,,
dashboard,My Reports,my-reports,9,✅ COMPLETE,LOW,src/components/dashboard/dashboard-my-reports-tab.tsx,Custom reports access,0,,
dashboard,My Files,my-files,10,✅ COMPLETE,LOW,src/components/dashboard/dashboard-my-files-tab.tsx,File management widget,0,,
projects,Overview,overview,0,❌ MISSING,CRITICAL,NOT_FOUND,Dashboard view needed,16,,
projects,Productions,productions,1,✅ COMPLETE,CRITICAL,src/components/projects/productions-tab.tsx,Main projects list working,0,,
projects,Activations,activations,2,❌ MISSING,MEDIUM,NOT_FOUND,Brand activations tracking,12,,
projects,Schedule,schedule,3,✅ COMPLETE,HIGH,src/components/projects/schedule-tab.tsx,Timeline view implemented,0,,
projects,Tasks,tasks,4,❌ MISSING,CRITICAL,NOT_FOUND,Task management needed,16,,
projects,Milestones,milestones,5,❌ MISSING,HIGH,NOT_FOUND,Milestone tracking needed,12,,
projects,Compliance,compliance,6,❌ MISSING,HIGH,NOT_FOUND,Licensing and permits,14,,
projects,Safety,safety,7,❌ MISSING,HIGH,NOT_FOUND,Safety protocols needed,12,,
projects,Work Orders,projects-work-orders,8,❌ MISSING,MEDIUM,NOT_FOUND,Subcontractor dispatch,16,,
projects,Costs,costs,9,❌ MISSING,CRITICAL,NOT_FOUND,Budget tracking essential,20,,
projects,Checklists,projects-checklists,10,❌ MISSING,MEDIUM,NOT_FOUND,Project checklists needed,10,,
events,All Events,all-events,0,❌ MISSING,CRITICAL,NOT_FOUND,Main calendar view needed,20,,
events,Activities,activities,1,❌ MISSING,HIGH,NOT_FOUND,Activities tracking needed,14,,
events,Run of Show,run-of-show,2,✅ COMPLETE,HIGH,src/components/events/run-of-show-tab.tsx,Show rundown working,0,,
events,Rehearsals,rehearsals,3,❌ MISSING,MEDIUM,NOT_FOUND,Rehearsal scheduling needed,12,,
events,Blocks,blocks,4,❌ MISSING,MEDIUM,NOT_FOUND,Room block management,12,,
events,Bookings,bookings,5,❌ MISSING,HIGH,NOT_FOUND,Venue bookings needed,14,,
events,Tours,tours,6,✅ COMPLETE,MEDIUM,src/components/events/tours-tab.tsx,Tour management working,0,,
events,Itineraries,itineraries,7,❌ MISSING,MEDIUM,NOT_FOUND,Travel itinerary management,12,,
events,Reservations,reservations,8,❌ MISSING,MEDIUM,NOT_FOUND,Hospitality reservations,12,,
events,Equipment,equipment,9,❌ MISSING,HIGH,NOT_FOUND,Equipment assignments needed,14,,
events,Shipping & Receiving,shipping-receiving,10,❌ MISSING,MEDIUM,NOT_FOUND,Logistics tracking needed,12,,
events,Trainings,trainings,11,❌ MISSING,LOW,NOT_FOUND,Training sessions tracking,10,,
events,Incidents,incidents,12,❌ MISSING,HIGH,NOT_FOUND,Incident reporting critical,12,,
events,Internal,internal,13,❌ MISSING,LOW,NOT_FOUND,Internal events tracking,8,,
people,Personnel,personnel,0,❌ MISSING,CRITICAL,NOT_FOUND,Main personnel directory,20,,
people,Teams,teams,1,❌ MISSING,HIGH,NOT_FOUND,Team management needed,16,,
people,Assignments,assignments,2,❌ MISSING,HIGH,NOT_FOUND,Task assignments needed,14,,
people,Timekeeping,timekeeping,3,❌ MISSING,CRITICAL,NOT_FOUND,Time tracking essential,18,,
people,Scheduling,scheduling,4,✅ COMPLETE,HIGH,src/components/people/scheduling-tab.tsx,Crew scheduling working,0,,
people,Training,training,5,❌ MISSING,MEDIUM,NOT_FOUND,Training programs needed,12,,
people,Onboarding,onboarding,6,❌ MISSING,MEDIUM,NOT_FOUND,Onboarding workflow needed,12,,
people,Openings,openings,7,❌ MISSING,MEDIUM,NOT_FOUND,Job postings management,10,,
people,Applicants,applicants,8,❌ MISSING,MEDIUM,NOT_FOUND,Applicant tracking needed,12,,
assets,Overview,overview,0,❌ MISSING,HIGH,NOT_FOUND,Dashboard view needed,14,,
assets,Tracking,tracking,1,❌ MISSING,CRITICAL,NOT_FOUND,Asset lifecycle tracking,20,,
assets,Inventory,inventory,2,✅ COMPLETE,CRITICAL,src/components/assets/inventory-tab.tsx,Inventory management working,0,,
assets,Counts,counts,3,✅ COMPLETE,HIGH,src/components/assets/counts-tab.tsx,Physical counts implemented,0,,
assets,Maintenance,maintenance,4,✅ COMPLETE,HIGH,src/components/assets/assets-maintenance-tab.tsx,Maintenance scheduling working,0,,
assets,Approvals,approvals,5,✅ COMPLETE,HIGH,src/components/assets/assets-approvals-tab.tsx,Approval workflows functional,0,,
assets,Advances,advances,6,✅ COMPLETE,HIGH,src/components/assets/assets-advances-tab.tsx,Production advances working,0,,
assets,Catalog,catalog,7,✅ COMPLETE,CRITICAL,src/components/assets/catalog-tab.tsx,Complete asset catalog,0,,
locations,Directory,directory,0,✅ COMPLETE,CRITICAL,src/components/locations/directory-tab.tsx,Location directory working,0,,
locations,Site Maps,site-maps,1,✅ COMPLETE,HIGH,src/components/locations/site-maps-tab.tsx,Map visualization working,0,,
locations,Access,access,2,❌ MISSING,MEDIUM,NOT_FOUND,Access control needed,12,,
locations,Warehousing,warehousing,3,❌ MISSING,MEDIUM,NOT_FOUND,Warehouse management,14,,
locations,Logistics,logistics,4,❌ MISSING,HIGH,NOT_FOUND,Transportation coordination,16,,
locations,Utilities,utilities,5,❌ MISSING,LOW,NOT_FOUND,Infrastructure management,10,,
locations,BIM Models,bim-models,6,❌ MISSING,LOW,NOT_FOUND,3D model management,16,,
locations,Coordination,coordination,7,❌ MISSING,LOW,NOT_FOUND,Clash detection needed,14,,
locations,Spatial Features,spatial-features,8,❌ MISSING,LOW,NOT_FOUND,GIS features needed,16,,
files,All Documents,all-documents,0,❌ MISSING,CRITICAL,NOT_FOUND,Main document repository,20,,
files,Contracts,contracts,1,❌ MISSING,CRITICAL,NOT_FOUND,Contract management essential,18,,
files,Riders,riders,2,❌ MISSING,HIGH,NOT_FOUND,Technical riders needed,12,,
files,Tech Specs,tech-specs,3,❌ MISSING,HIGH,NOT_FOUND,Specifications management,12,,
files,Call Sheets,call-sheets,4,❌ MISSING,HIGH,NOT_FOUND,Daily call sheets needed,14,,
files,Insurance & Permits,insurance-permits,5,❌ MISSING,CRITICAL,NOT_FOUND,Compliance documents,14,,
files,Media Assets,media-assets,6,❌ MISSING,HIGH,NOT_FOUND,Media library needed,16,,
files,Production Reports,production-reports,7,❌ MISSING,HIGH,NOT_FOUND,Daily reports tracking,12,,
files,Shared,shared,8,❌ MISSING,MEDIUM,NOT_FOUND,External sharing needed,10,,
files,Archive,archive,9,❌ MISSING,LOW,NOT_FOUND,Document archival needed,8,,
admin,Overview,overview,0,✅ COMPLETE,HIGH,src/components/admin/admin-overview-tab.tsx,Organization dashboard working,0,,
admin,Organization,organization,1,❌ MISSING,HIGH,NOT_FOUND,Org settings needed,10,,
admin,Members,invite,2,✅ COMPLETE,CRITICAL,src/components/admin/members-management-tab.tsx,Member management working,0,,
admin,Roles & Permissions,roles-permissions,3,✅ COMPLETE,CRITICAL,src/components/admin/roles-permissions-tab.tsx,Access control working,0,,
admin,Billing,billing,4,✅ COMPLETE,HIGH,src/components/admin/billing-tab.tsx,Subscription management working,0,,
admin,Security,security,5,✅ COMPLETE,HIGH,src/components/admin/security-tab.tsx,Security settings working,0,,
admin,Templates,templates,6,✅ COMPLETE,MEDIUM,src/components/admin/templates-tab.tsx,Template management working,0,,
admin,Automations,automations,7,✅ COMPLETE,MEDIUM,src/components/admin/automations-tab.tsx,Workflow automation working,0,,
admin,Integrations,integrations,8,✅ COMPLETE,HIGH,src/components/admin/integrations-tab.tsx,Integration settings working,0,,
admin,Webhooks,webhooks,9,✅ COMPLETE,MEDIUM,src/components/admin/webhooks-tab.tsx,Webhook configuration working,0,,
admin,API Tokens,api-tokens,10,✅ COMPLETE,MEDIUM,src/components/admin/api-tokens-tab.tsx,API access management working,0,,
settings,Appearance,appearance,0,✅ COMPLETE,MEDIUM,src/components/settings/appearance-tab.tsx,Theme customization working,0,⚠️ Missing loading state
settings,Integrations,integrations,1,✅ COMPLETE,HIGH,src/components/settings/integrations-tab.tsx,Personal integrations working,0,⚠️ Missing loading state
settings,Automations,automations,2,✅ COMPLETE,MEDIUM,src/components/settings/automations-tab.tsx,Personal automations working,0,⚠️ Missing loading state
settings,Account,account,3,✅ COMPLETE,CRITICAL,src/components/settings/account-tab.tsx,Account settings working,0,,
settings,Team,team,4,✅ COMPLETE,HIGH,src/components/settings/team-tab.tsx,Team management working,0,⚠️ Missing loading state
settings,Billing,billing,5,✅ COMPLETE,HIGH,src/components/settings/billing-tab.tsx,Personal billing working,0,,
profile,Basic,basic-info,0,✅ COMPLETE,CRITICAL,src/components/profile/profile-basic-tab.tsx,Personal details working,0,,
profile,Professional,professional,1,✅ COMPLETE,HIGH,src/components/profile/profile-professional-tab.tsx,Resume management working,0,,
profile,Social,social,2,❌ MISSING,LOW,NOT_FOUND,Social media links needed,6,,
profile,Certifications,certifications,3,✅ COMPLETE,HIGH,src/components/profile/profile-certifications-tab.tsx,Credentials tracking working,0,,
profile,Travel,travel,4,❌ MISSING,MEDIUM,NOT_FOUND,Travel preferences needed,8,,
profile,Health,health,5,✅ COMPLETE,MEDIUM,src/components/profile/profile-health-tab.tsx,Medical info management working,0,,
profile,Emergency,emergency,6,❌ MISSING,HIGH,NOT_FOUND,Emergency contacts needed,8,,
profile,Performance,performance,7,✅ COMPLETE,MEDIUM,src/components/profile/profile-performance-tab.tsx,Performance metrics working,0,,
profile,Endorsements,endorsements,8,✅ COMPLETE,LOW,src/components/profile/profile-endorsements-tab.tsx,Skill endorsements working,0,,
profile,Tags,tags,9,✅ COMPLETE,MEDIUM,src/components/profile/profile-tags-tab.tsx,Tagging system working,0,,
profile,History,history,10,✅ COMPLETE,LOW,src/components/profile/profile-history-tab.tsx,Project history working,0,,
companies,Organizations,organizations,0,✅ COMPLETE,CRITICAL,src/components/companies/companies-organizations-tab.tsx,Company directory working,0,,
companies,Contacts,contacts,1,✅ COMPLETE,HIGH,src/components/companies/companies-contacts-tab.tsx,Contact management working,0,,
companies,Deliverables,deliverables,2,❌ MISSING,HIGH,NOT_FOUND,Deliverables tracking needed,14,,
companies,Scopes of Work,scopes-of-work,3,❌ MISSING,HIGH,NOT_FOUND,SOW management needed,14,,
companies,Documents,documents,4,❌ MISSING,HIGH,NOT_FOUND,Company docs needed,12,,
companies,Bids,bids,5,❌ MISSING,MEDIUM,NOT_FOUND,Bid management needed,12,,
companies,Compliance,companies-compliance,6,❌ MISSING,CRITICAL,NOT_FOUND,Compliance tracking essential,14,,
companies,Work Orders,companies-work-orders,7,❌ MISSING,HIGH,NOT_FOUND,Work order dispatch needed,16,,
companies,Invoices,companies-invoices,8,❌ MISSING,HIGH,NOT_FOUND,Invoice tracking needed,14,,
companies,Reviews,companies-reviews,9,❌ MISSING,MEDIUM,NOT_FOUND,Performance reviews needed,10,,
companies,Profile,subcontractor-profile,10,❌ MISSING,MEDIUM,NOT_FOUND,Subcontractor profiles needed,12,,
community,News,news,0,✅ COMPLETE,MEDIUM,src/components/community/news-tab.tsx,News feed working,0,,
community,Showcase,showcase,1,✅ COMPLETE,MEDIUM,src/components/community/showcase-tab.tsx,Featured content working,0,,
community,Activity,activity,2,✅ COMPLETE,HIGH,src/components/community/activity-tab.tsx,Social feed working,0,,
community,Connections,connections,3,✅ COMPLETE,MEDIUM,src/components/community/connections-tab.tsx,Network management working,0,,
community,Studios,studios,4,✅ COMPLETE,MEDIUM,src/components/community/studios-tab.tsx,Studio pages working,0,,
community,Events,events,5,✅ COMPLETE,MEDIUM,src/components/community/events-tab.tsx,Public events working,0,,
community,Discussions,discussions,6,✅ COMPLETE,MEDIUM,src/components/community/discussions-tab.tsx,Discussion forums working,0,,
community,Competitions,competitions,7,✅ COMPLETE,LOW,src/components/community/competitions-tab.tsx,Competitions working,0,,
marketplace,Spotlight,spotlight,0,✅ COMPLETE,HIGH,src/components/marketplace/spotlight-tab.tsx,Featured products feed,0,,
marketplace,Shop,shop,1,✅ COMPLETE,CRITICAL,src/components/marketplace/shop-tab.tsx,E-commerce browsing working,0,,
marketplace,Favorites,favorites,2,✅ COMPLETE,MEDIUM,src/components/marketplace/favorites-tab.tsx,Saved items working,0,,
marketplace,Sales,sales,3,✅ COMPLETE,HIGH,src/components/marketplace/sales-tab.tsx,Vendor sales tracking,0,,
marketplace,Purchases,purchases,4,✅ COMPLETE,HIGH,src/components/marketplace/purchases-tab.tsx,Order history working,0,,
marketplace,Lists,lists,5,✅ COMPLETE,MEDIUM,src/components/marketplace/lists-tab.tsx,Shopping lists working,0,,
marketplace,Products,products,6,✅ COMPLETE,CRITICAL,src/components/marketplace/products-tab.tsx,Product catalog working,0,,
marketplace,Services,services,7,✅ COMPLETE,HIGH,src/components/marketplace/services-tab.tsx,Service marketplace working,0,,
marketplace,Vendors,vendors,8,✅ COMPLETE,MEDIUM,src/components/marketplace/vendors-tab.tsx,Vendor directory working,0,,
marketplace,Reviews,reviews,9,✅ COMPLETE,MEDIUM,src/components/marketplace/reviews-tab.tsx,Rating system working,0,,
resources,Library,library,0,✅ COMPLETE,MEDIUM,src/components/resources/resources-library-tab.tsx,Resource library working,0,,
resources,Guides,guides,1,❌ MISSING,LOW,NOT_FOUND,How-to guides needed,8,,
resources,Courses,courses,2,❌ MISSING,LOW,NOT_FOUND,Educational courses needed,10,,
resources,Grants,grants,3,❌ MISSING,LOW,NOT_FOUND,Grant applications needed,10,,
resources,Publications,publications,4,❌ MISSING,LOW,NOT_FOUND,Industry publications needed,8,,
resources,Glossary,glossary,5,❌ MISSING,LOW,NOT_FOUND,Terminology database needed,8,,
resources,Troubleshooting,troubleshooting,6,❌ MISSING,LOW,NOT_FOUND,FAQ system needed,8,,
finance,Overview,overview,0,✅ COMPLETE,CRITICAL,src/components/finance/finance-overview-tab.tsx,Financial dashboard working,0,,
finance,Approvals,approvals,1,✅ COMPLETE,CRITICAL,src/components/finance/finance-approvals-tab.tsx,Approval workflows working,0,,
finance,Scenarios,scenarios,2,✅ COMPLETE,HIGH,src/components/finance/finance-scenarios-tab.tsx,Budget scenarios working,0,,
finance,Variance,variance,3,✅ COMPLETE,HIGH,src/components/finance/finance-variance-tab.tsx,Variance analysis working,0,,
finance,Cash Flow,cash-flow,4,✅ COMPLETE,HIGH,src/components/finance/finance-cash-flow-tab.tsx,Cash flow projections working,0,,
finance,Forecasts,forecasts,5,❌ MISSING,HIGH,NOT_FOUND,Financial forecasting needed,16,,
finance,Budgets,budgets,6,❌ MISSING,CRITICAL,NOT_FOUND,Budget management essential,20,,
finance,Transactions,transactions,7,❌ MISSING,CRITICAL,NOT_FOUND,Transaction ledger essential,20,,
finance,Revenue,revenue,8,❌ MISSING,HIGH,NOT_FOUND,Revenue tracking needed,14,,
finance,Expenses,expenses,9,❌ MISSING,CRITICAL,NOT_FOUND,Expense management essential,16,,
finance,Payroll,payroll,10,❌ MISSING,HIGH,NOT_FOUND,Payroll processing needed,18,,
finance,Reconciliation,reconciliation,11,❌ MISSING,HIGH,NOT_FOUND,Reconciliation needed,16,,
finance,Payments,payments,12,❌ MISSING,CRITICAL,NOT_FOUND,Payment processing essential,18,,
finance,Invoices,invoices,13,❌ MISSING,CRITICAL,NOT_FOUND,Invoice management essential,16,,
finance,Taxes,taxes,14,❌ MISSING,HIGH,NOT_FOUND,Tax compliance needed,14,,
finance,Policies,policies,15,✅ COMPLETE,MEDIUM,src/components/finance/finance-policies-tab.tsx,Policy management working,0,,
finance,Accounts,accounts,16,❌ MISSING,HIGH,NOT_FOUND,Chart of accounts needed,12,,
finance,GL Codes,gl-codes,17,❌ MISSING,MEDIUM,NOT_FOUND,GL code management needed,10,,
procurement,Overview,overview,0,❌ MISSING,HIGH,NOT_FOUND,Procurement dashboard needed,14,,
procurement,Fulfillment,fulfillment,1,❌ MISSING,CRITICAL,NOT_FOUND,Order fulfillment needed,16,,
procurement,Orders,orders,2,❌ MISSING,CRITICAL,NOT_FOUND,PO management essential,20,,
procurement,Agreements,agreements,3,❌ MISSING,HIGH,NOT_FOUND,Contract agreements needed,14,,
procurement,Approvals,procurement-approvals,4,❌ MISSING,CRITICAL,NOT_FOUND,Approval workflow essential,16,,
procurement,Requisitions,requisitions,5,❌ MISSING,HIGH,NOT_FOUND,Purchase requisitions needed,14,,
procurement,Line Items,line-items,6,❌ MISSING,MEDIUM,NOT_FOUND,Line item management needed,12,,
procurement,Audits,audits,7,❌ MISSING,MEDIUM,NOT_FOUND,Audit trail needed,12,,
procurement,Receiving,receiving,8,✅ COMPLETE,HIGH,src/components/procurement/receiving-tab.tsx,Goods receiving working,0,,
procurement,Matching,matching,9,✅ COMPLETE,HIGH,src/components/procurement/matching-tab.tsx,Three-way matching working,0,,
jobs,Overview,overview,0,❌ MISSING,CRITICAL,NOT_FOUND,Jobs dashboard needed,16,,
jobs,Active,active,1,❌ MISSING,CRITICAL,NOT_FOUND,Active contracts list needed,16,,
jobs,Pipeline,pipeline,2,✅ COMPLETE,HIGH,src/components/jobs/pipeline-tab.tsx,Pipeline management working,0,,
jobs,Offers,offers,3,❌ MISSING,HIGH,NOT_FOUND,Job offers tracking needed,12,,
jobs,Shortlists,shortlists,4,❌ MISSING,MEDIUM,NOT_FOUND,Shortlist management needed,10,,
jobs,RFPs,rfps,5,❌ MISSING,HIGH,NOT_FOUND,RFP management needed,14,,
jobs,Completed,completed,6,❌ MISSING,MEDIUM,NOT_FOUND,Completed jobs archive needed,10,,
jobs,Archived,archived,7,❌ MISSING,LOW,NOT_FOUND,Job archival needed,8,,
jobs,Work Orders,work-orders,8,❌ MISSING,HIGH,NOT_FOUND,Work order dispatch needed,16,,
jobs,Dispatch,dispatch,9,❌ MISSING,HIGH,NOT_FOUND,Fast dispatch board needed,14,,
jobs,Estimates,estimates,10,❌ MISSING,HIGH,NOT_FOUND,Estimate generation needed,14,,
jobs,Invoices,jobs-invoices,11,✅ COMPLETE,HIGH,src/components/jobs/jobs-invoices-tab.tsx,Invoice management working,0,,
jobs,Compliance,jobs-compliance,12,❌ MISSING,HIGH,NOT_FOUND,Contractor compliance needed,12,,
jobs,Checklists,checklists,13,❌ MISSING,MEDIUM,NOT_FOUND,Job checklists needed,10,,
jobs,Recruiting,recruiting,14,❌ MISSING,MEDIUM,NOT_FOUND,Subcontractor recruiting needed,12,,
reports,Overview,overview,0,✅ COMPLETE,MEDIUM,src/components/reports/reports-overview-tab.tsx,Reports dashboard working,0,,
reports,Custom Builder,custom-builder,1,✅ COMPLETE,HIGH,src/components/reports/reports-custom-builder-tab.tsx,Report builder working,0,,
reports,Templates,templates,2,✅ COMPLETE,MEDIUM,src/components/reports/reports-templates-tab.tsx,Template library working,0,,
reports,Scheduled,scheduled,3,✅ COMPLETE,MEDIUM,src/components/reports/reports-scheduled-tab.tsx,Scheduled reports working,0,,
reports,Exports,exports,4,✅ COMPLETE,LOW,src/components/reports/reports-exports-tab.tsx,Export history working,0,,
reports,Compliance,compliance,5,✅ COMPLETE,HIGH,src/components/reports/reports-compliance-tab.tsx,Compliance reports working,0,,
reports,Executive,executive,6,✅ COMPLETE,MEDIUM,src/components/reports/reports-executive-tab.tsx,Executive reports working,0,,
reports,Operational,operational,7,✅ COMPLETE,MEDIUM,src/components/reports/reports-operational-tab.tsx,Operational reports working,0,,
reports,Archived,archived,8,✅ COMPLETE,LOW,src/components/reports/reports-archived-tab.tsx,Archived reports working,0,,
analytics,Overview,overview,0,✅ COMPLETE,HIGH,src/components/analytics/analytics-overview-tab.tsx,Analytics dashboard working,0,,
analytics,Performance,performance,1,✅ COMPLETE,HIGH,src/components/analytics/analytics-performance-tab.tsx,Performance metrics working,0,,
analytics,Trends,trends,2,✅ COMPLETE,MEDIUM,src/components/analytics/analytics-trends-tab.tsx,Trend analysis working,0,,
analytics,Comparisons,comparisons,3,✅ COMPLETE,MEDIUM,src/components/analytics/analytics-comparisons-tab.tsx,Comparative analysis working,0,,
analytics,Forecasting,forecasting,4,✅ COMPLETE,HIGH,src/components/analytics/analytics-forecasting-tab.tsx,Predictive analytics working,0,,
analytics,Real-time,realtime,5,✅ COMPLETE,MEDIUM,src/components/analytics/analytics-realtime-tab.tsx,Live metrics working,0,,
analytics,Custom Views,custom-views,6,✅ COMPLETE,MEDIUM,src/components/analytics/analytics-custom-views-tab.tsx,Custom dashboards working,0,,
analytics,Pivot Tables,pivot-tables,7,✅ COMPLETE,HIGH,src/components/analytics/analytics-pivot-tables-tab.tsx,Data exploration working,0,,
analytics,Metrics Library,metrics-library,8,✅ COMPLETE,MEDIUM,src/components/analytics/analytics-metrics-library-tab.tsx,KPI library working,0,,
analytics,Data Sources,data-sources,9,✅ COMPLETE,MEDIUM,src/components/analytics/analytics-data-sources-tab.tsx,Data source management working,0,,
insights,Overview,overview,0,✅ COMPLETE,MEDIUM,src/components/insights/insights-overview-tab.tsx,Insights dashboard working,0,,
insights,Objectives,objectives,1,✅ COMPLETE,HIGH,src/components/insights/insights-objectives-tab.tsx,Strategic objectives working,0,,
insights,Key Results,key-results,2,✅ COMPLETE,HIGH,src/components/insights/insights-key-results-tab.tsx,KR tracking working,0,,
insights,Benchmarks,benchmarks,3,✅ COMPLETE,MEDIUM,src/components/insights/insights-benchmarks-tab.tsx,Industry benchmarks working,0,,
insights,Recommendations,recommendations,4,✅ COMPLETE,MEDIUM,src/components/insights/insights-recommendations-tab.tsx,AI recommendations working,0,,
insights,Priorities,priorities,5,✅ COMPLETE,MEDIUM,src/components/insights/insights-priorities-tab.tsx,Priority ranking working,0,,
insights,Progress Tracking,progress-tracking,6,✅ COMPLETE,HIGH,src/components/insights/insights-progress-tracking-tab.tsx,Progress monitoring working,0,,
insights,Reviews,reviews,7,✅ COMPLETE,MEDIUM,src/components/insights/insights-reviews-tab.tsx,Review system working,0,,
insights,Intelligence Feed,intelligence-feed,8,✅ COMPLETE,MEDIUM,src/components/insights/insights-intelligence-feed-tab.tsx,Curated insights working,0,,
insights,Success Metrics,success-metrics,9,✅ COMPLETE,MEDIUM,src/components/insights/insights-success-metrics-tab.tsx,Success criteria working,0,,
